,RMSE
0,1.0430337322634273
1,0.7624085015749416
2,0.7624085015749416
3,0.7423521255643103
4,0.6843947180615666
5,0.6843947180615666
6,0.6843947180615666
7,0.6843947180615666
8,0.493867295313951
9,0.493867295313951
10,0.493867295313951
11,0.493867295313951
12,0.493867295313951
13,0.46138447092611273
14,0.46138447092611273
15,0.39567641204058834
16,0.39567641204058834
17,0.3758188011388076
18,0.3618966985675439
19,0.3618966985675439
20,0.3618966985675439
21,0.3618966985675439
22,0.3618966985675439
23,0.3618966985675439
24,0.3618966985675439
25,0.3618966985675439
26,0.3618966985675439
27,0.3618966985675439
28,0.3618966985675439
29,0.3618966985675439
30,0.3618966985675439
31,0.3618966985675439
32,0.3618966985675439
33,0.3361878632293094
34,0.3361878632293094
35,0.3361878632293094
36,0.3361878632293094
37,0.3361878632293094
38,0.3361878632293094
39,0.3361878632293094
40,0.3361878632293094
41,0.3361878632293094
42,0.3361878632293094
43,0.3361878632293094
44,0.3361878632293094
45,0.3361878632293094
46,0.3361878632293094
47,0.3361878632293094
48,0.3361878632293094
49,0.3361878632293094
